Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,ExperienceRatio,IncomePerYearExp,TenureSatisfaction
24,0,Non-Travel,673,Research & Development,11,Other,1,96,4,Manufacturing Director,3,Divorced,4011,8232,No,1,5,5,2,2,0.4,668.5,6
36,1,Travel_Rarely,1218,Sales,9,Life Sciences,3,82,2,Sales Representative,1,Single,3407,6986,No,0,10,4,3,3,0.3,309.72727272727275,3
34,0,Travel_Rarely,419,Research & Development,7,Life Sciences,1,53,3,Research Director,2,Single,11994,21293,No,0,13,4,3,6,0.46153846153846156,856.7142857142857,12
21,0,Travel_Rarely,391,Research & Development,15,Life Sciences,3,96,3,Research Scientist,4,Single,1232,19281,No,0,0,6,3,0,0.0,1232.0,0
34,1,Travel_Rarely,699,Research & Development,6,Medical,2,83,3,Research Scientist,1,Single,2960,17102,No,0,8,2,3,2,0.25,328.8888888888889,2
53,0,Travel_Rarely,1282,Research & Development,5,Other,3,58,3,Manager,3,Divorced,19094,10735,No,1,26,3,2,13,0.5,707.1851851851852,39
32,1,Travel_Frequently,1125,Research & Development,16,Life Sciences,2,72,1,Research Scientist,1,Single,3919,4681,Yes,0,10,5,3,2,0.2,356.27272727272725,2
42,0,Travel_Rarely,691,Sales,8,Marketing,3,48,3,Sales Executive,2,Married,6825,21173,No,1,10,2,3,7,0.7,620.4545454545455,14
44,0,Travel_Rarely,477,Research & Development,7,Medical,1,42,2,Healthcare Representative,4,Married,10248,2094,No,1,24,4,3,6,0.25,409.92,24
46,0,Travel_Rarely,705,Sales,2,Marketing,2,83,3,Manager,1,Single,18947,22822,No,0,22,2,2,2,0.09090909090909091,823.7826086956521,2
33,0,Travel_Rarely,924,Research & Development,2,Medical,3,78,3,Laboratory Technician,4,Single,2496,6670,No,0,7,3,3,1,0.14285714285714285,312.0,4
44,0,Travel_Rarely,1459,Research & Development,10,Other,4,41,3,Healthcare Representative,4,Married,6465,19121,Yes,0,9,5,4,2,0.2222222222222222,646.5,8
30,0,Travel_Rarely,125,Research & Development,9,Medical,4,83,2,Laboratory Technician,3,Single,2206,16117,No,0,10,5,3,0,0.0,200.54545454545453,0
39,1,Travel_Rarely,895,Sales,5,Technical Degree,4,56,3,Sales Representative,4,Married,2086,3335,No,1,19,6,4,0,0.0,104.3,0
24,1,Travel_Rarely,813,Research & Development,1,Medical,2,61,3,Research Scientist,4,Married,2293,3020,Yes,1,6,2,2,0,0.0,327.57142857142856,0
43,0,Travel_Rarely,1273,Research & Development,2,Medical,4,72,4,Research Scientist,3,Divorced,2645,21923,No,2,6,3,2,3,0.5,377.85714285714283,9
50,1,Travel_Rarely,869,Sales,3,Marketing,1,86,2,Sales Representative,3,Married,2683,3810,Yes,0,3,2,3,2,0.6666666666666666,670.75,6
35,0,Travel_Rarely,890,Sales,2,Marketing,4,97,3,Sales Representative,4,Married,2014,9687,No,0,2,3,3,2,1.0,671.3333333333334,8
36,0,Travel_Rarely,852,Research & Development,5,Life Sciences,2,82,2,Research Scientist,1,Married,3419,13072,Yes,1,6,3,4,1,0.16666666666666666,488.42857142857144,1
33,0,Travel_Frequently,1141,Sales,1,Life Sciences,3,42,4,Sales Executive,1,Married,5376,3193,No,2,10,3,3,3,0.3,488.72727272727275,3
35,0,Travel_Rarely,464,Research & Development,4,Other,3,75,3,Laboratory Technician,4,Divorced,1951,10910,No,1,1,3,3,0,0.0,975.5,0
27,0,Travel_Rarely,1240,Research & Development,2,Life Sciences,4,33,3,Laboratory Technician,1,Divorced,2341,19715,No,1,1,6,3,0,0.0,1170.5,0
26,1,Travel_Rarely,1357,Research & Development,25,Life Sciences,1,48,1,Laboratory Technician,3,Single,2293,10558,No,0,1,2,2,0,0.0,1146.5,0
27,0,Travel_Frequently,994,Sales,8,Life Sciences,4,37,3,Sales Executive,3,Single,8726,2975,No,0,9,0,3,8,0.8888888888888888,872.6,24
30,0,Travel_Frequently,721,Research & Development,1,Medical,3,58,3,Laboratory Technician,4,Single,4011,10781,No,0,12,2,3,8,0.6666666666666666,308.53846153846155,32
41,1,Travel_Rarely,1360,Research & Development,12,Technical Degree,2,49,3,Research Director,3,Married,19545,16280,No,0,23,0,3,15,0.6521739130434783,814.375,45
34,0,Non-Travel,1065,Sales,23,Marketing,2,72,3,Sales Executive,3,Single,4568,10034,No,0,10,2,3,5,0.5,415.27272727272725,15
37,0,Travel_Rarely,408,Research & Development,19,Life Sciences,2,73,3,Research Scientist,2,Married,3022,10227,No,0,8,1,3,0,0.0,335.77777777777777,0
46,0,Travel_Frequently,1211,Sales,5,Marketing,1,98,3,Sales Executive,4,Single,5772,20445,Yes,0,14,4,3,6,0.42857142857142855,384.8,24
35,0,Travel_Rarely,1229,Research & Development,8,Life Sciences,4,36,4,Laboratory Technician,4,Married,2269,4892,No,0,1,2,3,0,0.0,1134.5,0
48,1,Travel_Rarely,626,Research & Development,1,Life Sciences,1,98,2,Laboratory Technician,3,Single,5381,19294,Yes,0,23,2,3,0,0.0,224.20833333333334,0
28,1,Travel_Rarely,1434,Research & Development,5,Technical Degree,3,50,3,Laboratory Technician,3,Single,3441,11179,Yes,0,2,3,2,2,1.0,1147.0,6
44,0,Travel_Rarely,1488,Sales,1,Marketing,2,75,3,Sales Executive,1,Divorced,5454,4009,Yes,1,9,2,2,3,0.3333333333333333,545.4,3
35,0,Non-Travel,1097,Research & Development,11,Medical,3,79,2,Healthcare Representative,1,Married,9884,8302,Yes,1,10,3,3,0,0.0,898.5454545454545,0
26,0,Travel_Rarely,1443,Sales,23,Marketing,3,47,2,Sales Executive,4,Married,4157,21436,Yes,1,5,2,2,2,0.4,692.8333333333334,8
33,0,Travel_Frequently,515,Research & Development,1,Life Sciences,1,98,3,Research Director,4,Single,13458,15146,Yes,0,15,1,3,14,0.9333333333333333,841.125,56
35,0,Travel_Frequently,853,Sales,18,Life Sciences,2,71,3,Sales Executive,1,Married,9069,11031,No,1,9,3,2,8,0.8888888888888888,906.9,8
35,0,Travel_Rarely,1142,Research & Development,23,Medical,3,30,3,Laboratory Technician,1,Married,4014,16002,Yes,1,4,3,3,2,0.5,802.8,2
31,0,Travel_Rarely,655,Research & Development,7,Life Sciences,4,48,3,Laboratory Technician,4,Divorced,5915,9528,No,1,10,3,2,7,0.7,537.7272727272727,28
37,0,Travel_Rarely,1115,Research & Development,1,Life Sciences,1,51,2,Manufacturing Director,3,Divorced,5993,2689,No,1,7,2,4,5,0.7142857142857143,749.125,15
32,0,Travel_Rarely,427,Research & Development,1,Medical,1,33,3,Manufacturing Director,4,Married,6162,10877,Yes,1,9,3,3,8,0.8888888888888888,616.2,32
38,0,Travel_Frequently,653,Research & Development,29,Life Sciences,4,50,3,Laboratory Technician,4,Single,2406,5456,No,0,10,2,3,3,0.3,218.72727272727272,12
50,0,Travel_Rarely,989,Research & Development,7,Medical,2,43,2,Research Director,3,Divorced,18740,16701,Yes,1,29,2,2,3,0.10344827586206896,624.6666666666666,9
59,0,Travel_Rarely,1435,Sales,25,Life Sciences,1,99,3,Sales Executive,1,Single,7637,2354,No,0,28,3,2,16,0.5714285714285714,263.3448275862069,16
36,0,Travel_Rarely,1223,Research & Development,8,Technical Degree,3,59,3,Healthcare Representative,3,Divorced,10096,8202,No,3,17,2,3,14,0.8235294117647058,560.8888888888889,42
55,0,Travel_Rarely,836,Research & Development,8,Medical,4,33,3,Manager,3,Divorced,14756,19730,Yes,3,21,2,3,0,0.0,670.7272727272727,0
36,0,Travel_Frequently,1195,Research & Development,11,Life Sciences,2,95,2,Manufacturing Director,2,Single,6499,22656,No,0,6,3,3,5,0.8333333333333334,928.4285714285714,10
45,0,Travel_Rarely,1339,Research & Development,7,Life Sciences,2,59,3,Research Scientist,1,Divorced,9724,18787,No,1,25,2,3,0,0.0,374.0,0
35,0,Travel_Frequently,664,Research & Development,1,Medical,2,79,3,Research Scientist,1,Married,2194,5868,No,1,5,2,2,2,0.4,365.6666666666667,2
36,1,Travel_Rarely,318,Research & Development,9,Medical,4,79,2,Research Scientist,3,Married,3388,21777,Yes,1,2,0,2,0,0.0,1129.3333333333333,0
59,0,Travel_Frequently,1225,Sales,1,Life Sciences,1,57,2,Sales Executive,3,Single,5473,24668,No,0,20,2,2,3,0.15,260.6190476190476,9
29,0,Travel_Rarely,1328,Research & Development,2,Life Sciences,3,76,3,Research Scientist,2,Married,2703,4956,No,1,6,3,3,4,0.6666666666666666,386.14285714285717,8
31,0,Travel_Rarely,1082,Research & Development,1,Medical,3,87,3,Research Scientist,2,Single,2501,18775,No,0,1,4,3,1,1.0,1250.5,2
32,0,Travel_Rarely,548,Research & Development,1,Life Sciences,2,66,3,Research Scientist,2,Married,6220,7346,No,2,10,3,3,4,0.4,565.4545454545455,8
36,0,Travel_Rarely,132,Research & Development,6,Life Sciences,2,55,4,Laboratory Technician,4,Married,3038,22002,No,0,5,3,3,0,0.0,506.3333333333333,0
31,0,Travel_Rarely,746,Research & Development,8,Life Sciences,3,61,3,Manufacturing Director,4,Single,4424,20682,No,0,11,2,3,7,0.6363636363636364,368.6666666666667,28
35,0,Travel_Rarely,776,Sales,1,Marketing,3,32,2,Sales Executive,1,Single,4312,23016,No,0,16,2,3,13,0.8125,253.64705882352942,13
45,0,Travel_Rarely,193,Research & Development,6,Other,4,52,3,Research Director,1,Married,13245,15067,Yes,0,17,3,4,0,0.0,735.8333333333334,0
37,0,Travel_Rarely,397,Research & Development,7,Medical,1,30,3,Research Director,3,Single,13664,25258,No,0,16,3,4,2,0.125,803.7647058823529,6
46,0,Travel_Rarely,945,Human Resources,5,Medical,2,80,3,Human Resources,2,Divorced,5021,10425,Yes,1,16,2,3,2,0.125,295.3529411764706,4
30,0,Travel_Rarely,852,Research & Development,1,Life Sciences,4,55,2,Laboratory Technician,4,Married,5126,15998,Yes,2,10,1,2,8,0.8,466.0,32
35,0,Travel_Rarely,1214,Research & Development,1,Medical,2,30,2,Research Scientist,3,Single,2859,26278,No,0,6,3,3,4,0.6666666666666666,408.42857142857144,12
55,0,Travel_Rarely,111,Sales,1,Life Sciences,1,70,3,Sales Executive,4,Married,10239,18092,No,1,24,4,3,0,0.0,409.56,0
38,0,Non-Travel,573,Research & Development,6,Medical,2,79,1,Research Scientist,4,Divorced,5329,15717,Yes,3,17,3,3,11,0.6470588235294118,296.05555555555554,44
34,0,Travel_Rarely,1153,Research & Development,1,Medical,1,94,3,Manufacturing Director,2,Married,4325,17736,No,0,5,2,3,2,0.4,720.8333333333334,4
56,0,Travel_Rarely,1400,Research & Development,7,Life Sciences,4,49,1,Manufacturing Director,4,Single,7260,21698,No,0,37,3,2,4,0.10810810810810811,191.05263157894737,16
23,0,Travel_Rarely,541,Sales,2,Technical Degree,3,62,3,Sales Representative,1,Divorced,2322,9518,No,1,3,3,3,0,0.0,580.5,0
51,0,Travel_Rarely,432,Research & Development,9,Life Sciences,4,96,3,Laboratory Technician,4,Married,2075,18725,No,2,10,4,3,2,0.2,188.63636363636363,8
30,0,Travel_Rarely,288,Research & Development,2,Life Sciences,3,99,2,Healthcare Representative,4,Married,4152,15830,No,3,11,3,3,10,0.9090909090909091,346.0,40
46,1,Travel_Rarely,669,Sales,9,Medical,3,64,2,Sales Executive,4,Single,9619,13596,No,0,9,3,3,8,0.8888888888888888,961.9,32
40,0,Travel_Frequently,530,Research & Development,1,Life Sciences,3,78,2,Healthcare Representative,2,Married,13503,14115,No,1,22,3,2,3,0.13636363636363635,587.0869565217391,6
51,0,Travel_Rarely,632,Sales,21,Marketing,3,71,3,Sales Executive,4,Single,5441,8423,Yes,0,11,2,1,7,0.6363636363636364,453.4166666666667,28
30,0,Travel_Rarely,1334,Sales,4,Medical,3,63,2,Sales Executive,2,Divorced,5209,19760,Yes,3,11,4,2,8,0.7272727272727273,434.0833333333333,16
46,0,Travel_Frequently,638,Research & Development,1,Medical,3,40,2,Healthcare Representative,1,Married,10673,3142,Yes,1,21,5,2,9,0.42857142857142855,485.1363636363636,9
32,0,Travel_Rarely,1093,Sales,6,Medical,2,87,3,Sales Executive,3,Single,5010,24301,No,0,12,0,3,8,0.6666666666666666,385.38461538461536,24
54,0,Travel_Rarely,1217,Research & Development,2,Technical Degree,1,60,3,Research Director,3,Married,13549,24001,No,1,16,5,1,3,0.1875,797.0,9
24,0,Travel_Rarely,1353,Sales,3,Other,1,33,3,Sales Executive,3,Married,4999,17519,No,1,4,2,2,2,0.5,999.8,6
28,0,Non-Travel,120,Sales,4,Medical,2,43,3,Sales Executive,3,Married,4221,8863,No,0,5,3,4,4,0.8,703.5,12
58,0,Travel_Rarely,682,Sales,10,Medical,4,37,3,Sales Executive,3,Single,13872,24409,No,0,38,1,2,10,0.2631578947368421,355.6923076923077,30
44,0,Non-Travel,489,Research & Development,23,Medical,2,67,3,Laboratory Technician,2,Married,2042,25043,No,1,17,3,4,2,0.11764705882352941,113.44444444444444,4
37,1,Travel_Rarely,807,Human Resources,6,Human Resources,3,63,3,Human Resources,1,Divorced,2073,23648,Yes,0,7,3,3,2,0.2857142857142857,259.125,2
32,0,Travel_Rarely,827,Research & Development,1,Life Sciences,4,71,3,Research Scientist,1,Single,2956,15178,No,0,1,2,3,0,0.0,1478.0,0
20,1,Travel_Frequently,871,Research & Development,6,Life Sciences,4,66,2,Laboratory Technician,4,Single,2926,19783,Yes,0,1,5,3,0,0.0,1463.0,0
34,0,Travel_Rarely,665,Research & Development,6,Other,1,41,3,Research Scientist,3,Single,4809,12482,No,0,16,3,3,13,0.8125,282.88235294117646,39
37,0,Non-Travel,1040,Research & Development,2,Life Sciences,3,100,2,Healthcare Representative,4,Divorced,5163,15850,No,1,17,2,4,0,0.0,286.8333333333333,0
59,0,Non-Travel,1420,Human Resources,2,Human Resources,3,32,2,Manager,4,Married,18844,21922,No,1,30,3,3,2,0.06666666666666667,607.8709677419355,8
50,0,Travel_Frequently,1115,Research & Development,1,Life Sciences,1,73,3,Research Director,2,Married,18172,9755,Yes,0,28,1,2,3,0.10714285714285714,626.6206896551724,6
25,1,Travel_Rarely,240,Sales,5,Marketing,3,46,2,Sales Executive,3,Single,5744,26959,Yes,0,6,1,3,4,0.6666666666666666,820.5714285714286,12
25,0,Travel_Rarely,1280,Research & Development,7,Medical,4,64,2,Research Scientist,4,Married,2889,26897,No,2,2,2,3,2,1.0,963.0,8
22,0,Travel_Rarely,534,Research & Development,15,Medical,2,59,3,Laboratory Technician,4,Single,2871,23785,No,0,1,5,3,0,0.0,1435.5,0
51,0,Travel_Frequently,1456,Research & Development,1,Medical,1,30,2,Healthcare Representative,1,Single,7484,25796,No,0,23,1,2,12,0.5217391304347826,311.8333333333333,12
34,1,Travel_Frequently,658,Research & Development,7,Life Sciences,1,66,1,Laboratory Technician,3,Single,6074,22887,Yes,0,9,3,3,7,0.7777777777777778,607.4,21
54,0,Non-Travel,142,Human Resources,26,Human Resources,4,30,4,Manager,4,Single,17328,13871,Yes,0,23,3,3,3,0.13043478260869565,722.0,12
24,0,Travel_Rarely,1127,Research & Development,18,Life Sciences,2,52,3,Laboratory Technician,3,Married,2774,13257,No,1,6,2,3,3,0.5,396.2857142857143,9
34,0,Travel_Rarely,1031,Research & Development,6,Life Sciences,3,45,2,Research Scientist,2,Divorced,4505,15000,No,1,12,3,3,0,0.0,346.53846153846155,0
37,0,Travel_Rarely,1189,Sales,3,Life Sciences,3,87,3,Sales Executive,4,Single,7428,14506,No,0,12,3,3,3,0.25,571.3846153846154,12
34,0,Travel_Rarely,1354,Research & Development,5,Medical,3,45,2,Manager,1,Single,11631,5615,No,0,14,6,3,10,0.7142857142857143,775.4,10
36,0,Travel_Frequently,1467,Sales,11,Technical Degree,2,92,3,Sales Executive,4,Married,9738,22952,No,1,10,6,3,7,0.7,885.2727272727273,28
36,0,Travel_Rarely,922,Research & Development,3,Life Sciences,1,39,3,Laboratory Technician,4,Divorced,2835,2561,No,1,7,2,3,0,0.0,354.375,0
43,0,Travel_Frequently,394,Sales,26,Life Sciences,3,92,3,Manager,4,Married,16959,19494,Yes,2,25,3,4,12,0.48,652.2692307692307,48
30,0,Travel_Frequently,1312,Research & Development,23,Life Sciences,1,96,1,Research Scientist,3,Divorced,2613,22310,No,3,10,2,2,7,0.7,237.54545454545453,21
33,0,Non-Travel,750,Sales,22,Marketing,3,95,3,Sales Executive,2,Married,6146,15480,No,1,8,2,4,7,0.875,682.8888888888889,14
56,1,Travel_Rarely,441,Research & Development,14,Life Sciences,2,72,3,Research Scientist,2,Married,4963,4510,Yes,3,7,2,3,4,0.5714285714285714,620.375,8
51,0,Travel_Rarely,684,Research & Development,6,Life Sciences,1,51,3,Research Director,3,Single,19537,6462,No,0,23,5,3,18,0.782608695652174,814.0416666666666,54
31,1,Travel_Rarely,249,Sales,6,Life Sciences,2,76,1,Sales Executive,3,Married,6172,20739,Yes,0,12,3,2,7,0.5833333333333334,474.7692307692308,21
26,0,Travel_Rarely,841,Research & Development,6,Other,3,46,2,Research Scientist,2,Married,2368,23300,No,0,5,3,2,4,0.8,394.6666666666667,8
58,1,Travel_Rarely,147,Research & Development,23,Medical,4,94,3,Healthcare Representative,4,Married,10312,3465,No,1,40,3,2,10,0.25,251.5121951219512,40
19,1,Travel_Rarely,528,Sales,22,Marketing,4,50,3,Sales Representative,3,Single,1675,26820,Yes,0,0,2,2,0,0.0,1675.0,0
22,0,Travel_Rarely,594,Research & Development,2,Technical Degree,3,100,3,Laboratory Technician,4,Married,2523,19299,No,1,3,2,3,1,0.3333333333333333,630.75,4
49,0,Travel_Rarely,470,Research & Development,20,Medical,3,96,3,Manufacturing Director,1,Married,6567,5549,No,0,16,2,2,11,0.6875,386.29411764705884,11
43,0,Travel_Frequently,957,Research & Development,28,Medical,2,72,4,Research Scientist,3,Single,4739,16090,No,0,18,2,3,2,0.1111111111111111,249.42105263157896,6
50,0,Travel_Frequently,809,Sales,12,Marketing,3,77,3,Sales Executive,4,Single,9208,6645,No,0,16,3,3,2,0.125,541.6470588235294,8
31,1,Travel_Rarely,542,Sales,20,Life Sciences,2,71,1,Sales Executive,3,Married,4559,24788,Yes,1,4,2,3,2,0.5,911.8,6
41,0,Travel_Rarely,802,Sales,9,Life Sciences,3,96,3,Sales Executive,3,Divorced,8189,21196,Yes,1,12,2,3,7,0.5833333333333334,629.9230769230769,21
26,0,Travel_Rarely,1355,Human Resources,25,Life Sciences,3,61,3,Human Resources,3,Married,2942,8916,No,1,8,3,3,7,0.875,326.8888888888889,21
36,0,Travel_Rarely,216,Research & Development,6,Medical,2,84,3,Manufacturing Director,2,Divorced,4941,2819,No,2,7,0,3,2,0.2857142857142857,617.625,4
51,1,Travel_Frequently,1150,Research & Development,8,Life Sciences,1,53,1,Manufacturing Director,4,Single,10650,25150,No,0,18,2,3,2,0.1111111111111111,560.5263157894736,8
39,0,Travel_Rarely,1329,Sales,4,Life Sciences,4,47,2,Sales Executive,3,Married,5902,14590,No,1,17,1,4,11,0.6470588235294118,327.8888888888889,33
25,0,Travel_Rarely,959,Sales,28,Life Sciences,1,41,2,Sales Executive,3,Married,8639,24835,No,0,6,3,3,2,0.3333333333333333,1234.142857142857,6
30,0,Travel_Rarely,1240,Human Resources,9,Human Resources,3,48,3,Human Resources,4,Married,6347,13982,Yes,0,12,2,1,9,0.75,488.2307692307692,36
32,1,Travel_Rarely,1033,Research & Development,9,Medical,1,41,3,Laboratory Technician,1,Single,4200,10224,No,0,10,2,4,4,0.4,381.8181818181818,4
45,0,Travel_Rarely,1316,Research & Development,29,Medical,3,83,3,Research Scientist,4,Single,3452,9752,No,0,9,2,2,5,0.5555555555555556,345.2,20
38,0,Travel_Rarely,364,Research & Development,3,Technical Degree,4,32,3,Research Scientist,3,Single,4317,2302,Yes,0,19,2,3,2,0.10526315789473684,215.85,6
30,0,Travel_Rarely,438,Research & Development,18,Life Sciences,1,75,3,Research Scientist,3,Single,2632,23910,No,0,5,4,2,4,0.8,438.6666666666667,12
32,0,Travel_Frequently,689,Sales,9,Medical,4,35,1,Sales Executive,4,Divorced,4668,22812,No,3,9,2,4,7,0.7777777777777778,466.8,28
30,0,Travel_Rarely,201,Research & Development,5,Technical Degree,4,84,3,Research Scientist,1,Divorced,3204,10415,No,1,8,3,3,2,0.25,356.0,2
30,0,Travel_Rarely,1427,Research & Development,2,Medical,2,35,2,Laboratory Technician,4,Single,2720,11162,No,0,6,3,3,3,0.5,388.57142857142856,12
41,0,Travel_Frequently,857,Research & Development,10,Life Sciences,4,91,2,Manager,1,Divorced,17181,12888,No,1,21,2,2,6,0.2857142857142857,780.9545454545455,6
41,0,Travel_Rarely,933,Research & Development,9,Life Sciences,3,94,3,Laboratory Technician,1,Married,2238,6961,No,1,7,2,3,0,0.0,279.75,0
19,0,Travel_Rarely,1181,Research & Development,3,Medical,2,79,3,Laboratory Technician,2,Single,1483,16102,No,0,1,3,3,0,0.0,741.5,0
40,0,Travel_Frequently,1395,Research & Development,26,Medical,2,54,3,Research Scientist,2,Divorced,5605,8504,No,1,20,2,3,7,0.35,266.9047619047619,14
35,0,Travel_Rarely,662,Sales,1,Marketing,3,94,3,Sales Executive,2,Married,7295,11439,No,2,10,3,3,8,0.8,663.1818181818181,16
53,0,Travel_Rarely,1436,Sales,6,Marketing,2,34,3,Sales Representative,3,Married,2306,16047,Yes,1,13,3,1,7,0.5384615384615384,164.71428571428572,21
45,0,Travel_Rarely,194,Research & Development,9,Life Sciences,2,60,3,Laboratory Technician,2,Divorced,2348,10901,No,1,20,2,1,9,0.45,111.80952380952381,18
32,0,Travel_Frequently,967,Sales,8,Marketing,2,43,3,Sales Executive,4,Single,8998,15589,No,0,9,2,3,8,0.8888888888888888,899.8,32
29,0,Non-Travel,1496,Research & Development,1,Technical Degree,4,41,3,Manufacturing Director,3,Married,4319,26283,No,1,10,1,3,7,0.7,392.6363636363636,21
51,0,Travel_Rarely,1169,Research & Development,7,Medical,2,34,2,Manufacturing Director,3,Married,6132,13983,No,0,10,2,3,0,0.0,557.4545454545455,0
58,0,Travel_Rarely,1145,Research & Development,9,Medical,2,75,2,Research Scientist,2,Married,3346,11873,Yes,1,9,3,2,0,0.0,334.6,0
40,0,Travel_Rarely,630,Sales,4,Marketing,3,67,2,Sales Executive,4,Married,10855,8552,No,1,15,2,2,11,0.7333333333333333,678.4375,44
34,0,Travel_Frequently,303,Sales,2,Marketing,3,75,3,Sales Representative,3,Married,2231,11314,No,1,6,3,3,3,0.5,318.7142857142857,9
22,0,Travel_Rarely,1256,Research & Development,19,Medical,3,80,3,Research Scientist,4,Married,2323,11992,No,2,2,6,3,2,1.0,774.3333333333334,8
27,0,Non-Travel,691,Research & Development,9,Medical,4,57,3,Research Scientist,2,Divorced,2024,5970,No,1,6,1,1,2,0.3333333333333333,289.14285714285717,4
28,0,Travel_Rarely,440,Research & Development,21,Medical,3,42,3,Research Scientist,4,Married,2713,6672,No,1,5,2,1,2,0.4,452.1666666666667,8
57,0,Travel_Rarely,334,Research & Development,24,Life Sciences,3,83,4,Healthcare Representative,4,Divorced,9439,23402,Yes,1,12,2,1,3,0.25,726.0769230769231,12
27,0,Non-Travel,1450,Research & Development,3,Medical,3,79,2,Research Scientist,3,Divorced,2566,25326,Yes,1,1,2,2,1,1.0,1283.0,3
50,0,Travel_Rarely,1452,Research & Development,11,Life Sciences,3,53,3,Manager,2,Single,19926,17053,No,0,21,5,3,4,0.19047619047619047,905.7272727272727,8
41,0,Travel_Rarely,465,Research & Development,14,Life Sciences,1,56,3,Research Scientist,3,Divorced,2451,4609,No,1,13,2,3,8,0.6153846153846154,175.07142857142858,24
30,0,Travel_Rarely,1339,Sales,5,Life Sciences,2,41,3,Sales Executive,4,Married,9419,8053,No,1,12,2,3,9,0.75,724.5384615384615,36
38,0,Travel_Rarely,702,Sales,1,Life Sciences,1,59,2,Sales Executive,4,Single,8686,12930,No,0,12,2,4,3,0.25,668.1538461538462,12
